match_id,team_name,away_team_name,duration_perc,angleratio,highpassperc,passesreceivedperc,fouls,score,outcome
3835319,Austria Women's,Austria Women's,0.453869575,0.95049505,0.244949495,0.825757576,10,0,lose
3835319,England Women's,Austria Women's,0.546130425,0.95862069,0.214035088,0.91754386,5,1,win
3835320,Northern Ireland,Northern Ireland,0.330696246,0.967741935,0.211038961,0.899350649,7,1,lose
3835320,Norway Women's,Northern Ireland,0.669303754,0.954861111,0.136042403,0.9204947,7,4,win
3835321,WNT Finland,WNT Finland,0.234919145,1,0.370689655,0.788793103,10,1,lose
3835321,Spain Women's,WNT Finland,0.765080855,0.953929539,0.121715076,0.94329184,9,4,win
3835322,Denmark Women's,Denmark Women's,0.377648576,0.905325444,0.303405573,0.773993808,11,0,lose
3835322,Germany Women's,Denmark Women's,0.622351424,0.927152318,0.184615385,0.904273504,11,4,win
3835323,Switzerland Women's,Switzerland Women's,0.383025308,1.037433155,0.263020833,0.846354167,17,2,tie
3835323,Portugal Women's,Switzerland Women's,0.616974692,1.003968254,0.158823529,0.966666667,9,2,tie
3835324,Sweden Women's,Sweden Women's,0.52756947,1.129310345,0.214428858,0.913827655,9,1,tie
3835324,Netherlands Women's,Sweden Women's,0.47243053,1.060344828,0.219917012,0.875518672,4,1,tie
3835325,Italy Women's,Italy Women's,0.437516933,0.857843137,0.182767624,0.885117493,12,1,lose
3835325,France Women's,Italy Women's,0.562483067,0.959409594,0.149812734,0.926966292,8,5,win
3835326,Iceland Women's,Iceland Women's,0.443198839,0.956730769,0.329268293,0.865853659,7,1,tie
3835326,Belgium Women's,Iceland Women's,0.556801161,0.907258065,0.22851153,0.882599581,7,1,tie
3835327,Norway Women's,Norway Women's,0.316142796,1.076923077,0.243902439,0.856707317,10,0,lose
3835327,England Women's,Norway Women's,0.683857204,0.947019868,0.175379427,0.942664418,5,8,win
3835328,Northern Ireland,Northern Ireland,0.395975806,0.88372093,0.280487805,0.817073171,9,0,lose
3835328,Austria Women's,Northern Ireland,0.604024194,1.013513514,0.227876106,0.884955752,7,2,win
3835329,WNT Finland,WNT Finland,0.447085413,0.945833333,0.204255319,0.957446809,5,0,lose
3835329,Denmark Women's,WNT Finland,0.552914587,0.989830508,0.179661017,0.905084746,10,1,win
3835330,Spain Women's,Spain Women's,0.754026107,0.964577657,0.110192837,0.932506887,9,0,lose
3835330,Germany Women's,Spain Women's,0.245973893,1.067114094,0.363344051,0.816720257,17,2,win
3835331,Switzerland Women's,Switzerland Women's,0.447121084,0.881578947,0.215277778,0.856481481,15,1,lose
3835331,Sweden Women's,Switzerland Women's,0.552878916,0.844067797,0.221206581,0.92321755,13,2,win
3835332,Portugal Women's,Portugal Women's,0.393688841,1.012121212,0.25,0.734939759,11,2,lose
3835332,Netherlands Women's,Portugal Women's,0.606311159,0.981412639,0.225325885,0.918063315,9,3,win
3835333,Belgium Women's,Belgium Women's,0.361702583,0.818181818,0.159144893,0.990498812,14,1,lose
3835333,France Women's,Belgium Women's,0.638297417,1.012861736,0.123809524,0.911111111,2,2,win
3835334,Iceland Women's,Iceland Women's,0.321992902,0.948905109,0.420074349,0.73605948,19,1,tie
3835334,Italy Women's,Iceland Women's,0.678007098,1.035294118,0.238003839,0.89059501,10,1,tie
3835335,England Women's,England Women's,0.792152127,0.951951952,0.156682028,0.927803379,6,5,win
3835335,Northern Ireland,England Women's,0.207847873,0.989361702,0.430851064,0.707446809,7,0,lose
3835336,Norway Women's,Norway Women's,0.540739763,0.953642384,0.172529313,0.884422111,9,0,lose
3835336,Austria Women's,Norway Women's,0.459260237,0.96969697,0.302030457,0.901015228,8,1,win
3835337,Spain Women's,Spain Women's,0.726921163,0.959798995,0.125480154,0.866837388,2,1,win
3835337,Denmark Women's,Spain Women's,0.273078837,1.116438356,0.394904459,0.589171975,7,0,lose
3835338,Germany Women's,Germany Women's,0.666834319,1.041811847,0.188135593,0.93220339,12,3,win
3835338,WNT Finland,Germany Women's,0.333165681,1.109090909,0.255681818,0.880681818,13,0,lose
3835339,Netherlands Women's,Netherlands Women's,0.500711705,1.058035714,0.172043011,0.96344086,12,4,win
3835339,Switzerland Women's,Netherlands Women's,0.499288295,0.918367347,0.190274841,0.951374207,4,1,lose
3835340,Portugal Women's,Portugal Women's,0.496984129,0.964285714,0.195783133,0.846385542,11,0,lose
3835340,Sweden Women's,Portugal Women's,0.503015871,0.948453608,0.235602094,0.832460733,10,5,win
3835341,Belgium Women's,Belgium Women's,0.421751274,0.970588235,0.207627119,0.938559322,8,1,win
3835341,Italy Women's,Belgium Women's,0.578248726,0.890070922,0.173507463,0.932835821,7,0,lose
3835342,France Women's,France Women's,0.591928829,0.944029851,0.14800759,0.94686907,10,1,tie
3835342,Iceland Women's,France Women's,0.408071171,0.856321839,0.353658537,0.856707317,11,1,tie
3844384,Spain Women's,Spain Women's,0.576379803,0.98028169,0.185552408,0.907932011,19,1,lose
3844384,England Women's,Spain Women's,0.423620197,1.029739777,0.270566728,0.888482633,16,2,win
3844385,Austria Women's,Austria Women's,0.375830088,0.948863636,0.365217391,0.88115942,14,0,lose
3844385,Germany Women's,Austria Women's,0.624169912,0.938931298,0.212598425,0.915354331,11,2,win
3844386,Belgium Women's,Belgium Women's,0.468557265,0.89380531,0.284722222,0.895833333,6,0,lose
3844386,Sweden Women's,Belgium Women's,0.531442735,1.012658228,0.228033473,0.870292887,3,1,win
3844387,Netherlands Women's,Netherlands Women's,0.495988871,0.843949045,0.203098107,0.943201377,16,0,lose
3844387,France Women's,Netherlands Women's,0.504011129,0.958598726,0.183870968,0.975806452,7,1,win
3845506,Sweden Women's,Sweden Women's,0.412521419,0.744075829,0.30458221,0.824797844,14,0,lose
3845506,England Women's,Sweden Women's,0.587478581,0.890196078,0.236514523,0.856846473,7,4,win
3845507,France Women's,France Women's,0.468571694,1.01754386,0.220779221,0.878787879,8,1,lose
3845507,Germany Women's,France Women's,0.531428306,0.942731278,0.191441441,0.885135135,14,2,win
3847567,Germany Women's,Germany Women's,0.481612072,0.939285714,0.256880734,0.706422018,22,1,lose
3847567,England Women's,Germany Women's,0.518387928,1.011673152,0.266666667,0.76,20,2,win
